,Half Squat - TB,Back Squat & Shoulder Press,Spooky Squat - DI,Arm Curl - DB,Tuck Jumps,Triceps Bench Dips,Triceps Dips,Torsional Backward Throw - MB,Torsion - SB FW,Standing Disc Press,Staggered Half Back Squat,Staggered Quarter Squat - FW,SA Squat Jump - DB,Half Back Squat - BB,Sissy Squat - belt,Half Squat - KS,SL Squat - KS,Deep Back Squat,Acceleration Squat - FW,SL Acceleration Squat - FW,Half Squat - FW,Split Jerk,Hip thrust -BB,Deadlift - BB,SL RDL - BW,SL Hip Thrust - KB,SL RDL - DB,SL Crab Hip Thrust,Push up - Knee,Push up - Jump,Push Up - Fly,Bench press - BB,Sled Acceleration,Military Press - DB,Military Press - BB,Glute Bridge SL Reach Reflex,Trx row,V-Sit Vertical Throw - MB,Throw down - MB,Squat Rows - FW,Side plank - Row,SHS Knee Ext Taps to Drop Step Accel,Rows Sitting SA - FW,Rows - Bent Over SA DB,Ankle Jumps (10-5),Donkey Calf,ZigZag 8 - EC Side,Zig-Zag - EC Side,Toe Back Squat,Toe Squat,Sprinter Plank - Wall,Sled Side Run,Sled March - T,Sled Lateral Pull Alt - T,Sled Crawl,Sled Carioca,Sled Back to Forward Acceleration,Skull Crasher - DB
trapezius-r,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;1;0,0;0;0,0;1;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,0;3;0,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
trapezius-l,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;1;0,0;0;0,0;1;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,0;3;0,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
scalenes-r,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;3;0,0;2;0,0;0;0,0;0;0,0;0;0,3;3;7,5;3;6,3;3;4,0;0;0,1;5;3,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
scalenes-l,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;3;0,0;2;0,0;0;0,0;0;0,0;0;0,3;3;7,5;3;6,3;3;4,0;0;0,1;5;3,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
sternocleidomastoid-r,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;2;0,0;1;0,0;0;0,0;1;0,0;3;0,0;1;0,0;1;0,0;1;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,2;3;2,3;3;4,0;0;0,1;5;3,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
sternocleidomastoid-l,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;2;0,0;1;0,0;0;0,0;1;0,0;3;0,0;1;0,0;1;0,0;1;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,2;3;2,3;3;4,0;0;0,1;5;3,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
longus_colli_longus_capitis-l,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;2;0,0;1;0,0;0;0,0;1;0,0;1;0,0;0;0,0;0;0,0;0;0,0;1;0,0;2;0,2;1;2,2;1;2,0;0;0,0;0;0,2;3;2,2;3;2,0;0;0,0;4;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
longus_colli_longus_capitis-r,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0;0;0,0;2;0,0;1;0,0;0;0,0;1;0,0;1;0,0;0;0,0;0;0,0;0;0,0;1;0,0;2;0,2;1;2,2;1;2,0;0;0,0;0;0,2;3;2,2;3;2,0;0;0,0;4;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
mid_pectoralis_major-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
mid_pectoralis_major-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
pectoralis_minor-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
pectoralis_minor-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
mid_pectoralis_major-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
mid_pectoralis_major-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
lower_pectoralis_major-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
lower_pectoralis_major-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;2;5,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;3;6,5;3;5,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
seratus_anterior-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;5;0,0;0;0,0;0;0,0;5;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,1;3;2,0;0;0,2;1;2,2;1;2,0;0;0,0;2;0,0;4;0,0;4;0,0;0;0,0;3;0,0;0;0,0;0;0,0;3;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
seratus_anterior-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;5;0,0;0;0,0;0;0,0;5;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,1;3;2,0;0;0,2;1;2,2;1;2,0;0;0,0;2;0,0;4;0,0;4;0,0;0;0,0;3;0,0;0;0,0;0;0,0;3;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0
external_oblique-l,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;7,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
external_oblique-r,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;7,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
internal_oblique-r,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
internal_oblique-l,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;6,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,0;4;0,0;5;0,3;5;7,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
transversus_abdominis-r,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,3;4;5,0;5;0,3;5;4,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
transversus_abdominis-l,0;5;0,0;5;0,0;5;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;2;8,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;2;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;4;0,3;4;5,0;5;0,3;5;4,0;3;0,0;2;0,0;4;0,0;4;0,0;5;0,3;2;4,3;2;4,0;5;0,0;5;0,0;8;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
upper_rectus_abdominis-r,0;0;0,0;5;0,0;0;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;4;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;2;0,0;2;0,0;3;0,0;5;0,0;3;0,3;4;5,0;0;0,3;5;4,0;0;0,0;2;0,0;3;0,0;4;0,0;5;0,3;2;3,3;2;3,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
upper_rectus_abdominis-l,0;0;0,0;5;0,0;0;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;4;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;2;0,0;2;0,0;3;0,0;5;0,0;3;0,3;4;5,0;0;0,3;5;4,0;0;0,0;2;0,0;3;0,0;4;0,0;5;0,3;2;3,3;2;3,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
lower_rectus_abdominis-r,0;0;0,0;5;0,0;0;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;4;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;2;0,0;2;0,0;3;0,0;5;0,0;3;0,3;4;5,0;0;0,3;5;4,0;0;0,0;2;0,0;3;0,0;4;0,0;5;0,3;2;3,3;2;3,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
lower_rectus_abdominis-l,0;0;0,0;5;0,0;0;0,0;0;0,5;4;5,0;4;0,0;4;0,2;4;2,2;4;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;2;0,0;2;0,0;3;0,0;5;0,0;3;0,3;4;5,0;0;0,3;5;4,0;0;0,0;2;0,0;3;0,0;4;0,0;5;0,3;2;3,3;2;3,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
teres_major-r,0;3;0,0;3;0,0;3;0,0;2;1,0;0;0,0;0;0,0;0;0,1;2;2,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;5,0;0;0,0;0;0,0;3;0,0;0;0,0;3;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;0;0,3;2;7,3;2;7,0;0;0,3;2;6,2;2;5,3;4;5,0;3;0,0;3;0,0;0;0,0;2;0,3;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
teres_major-l,0;3;0,0;3;0,0;3;0,0;2;1,0;0;0,0;0;0,0;0;0,1;2;2,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;5,0;0;0,0;0;0,0;3;0,0;0;0,0;3;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;0;0,3;2;7,3;2;7,0;0;0,3;2;6,2;2;5,3;4;5,0;3;0,0;3;0,0;0;0,0;2;0,3;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
deltoid_anterior-r,0;3;0,6;3;8,0;3;0,0;2;1,0;0;0,2;3;4,2;3;4,1;2;6,1;2;6,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;8,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;7,5;2;7,5;2;7,5;2;7,0;5;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,1;3;2,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_anterior-l,0;3;0,6;3;8,0;3;0,0;2;1,0;0;0,2;3;4,2;3;4,1;2;6,1;2;6,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;8,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;7,5;2;7,5;2;7,5;2;7,0;5;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,1;3;2,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_lateral-l,0;3;0,6;3;8,0;3;0,0;2;1,0;0;0,2;3;4,2;3;4,1;2;6,1;2;6,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;8,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;7,5;2;7,5;2;7,5;2;7,0;5;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,1;3;2,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_lateral-r,0;3;0,6;3;8,0;3;0,0;2;1,0;0;0,2;3;4,2;3;4,1;2;6,1;2;6,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;8,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;7,5;2;7,5;2;7,5;2;7,0;5;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,1;3;2,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
triceps_brachi_lateral_head-r,0;0;0,3;4;5,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,1;2;6,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;4;2,3;2;6,3;2;6,3;2;6,3;2;6,0;5;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_lateral_head-l,0;0;0,3;4;5,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,1;2;6,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;4;2,3;2;6,3;2;6,3;2;6,3;2;6,0;5;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
short_biceps_brachi-r,0;0;0,0;0;0,0;0;0,7;5;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;0;0,0;0;0,0;0;0,3;2;7,1;4;1,2;3;3,0;0;0,2;3;4,0;0;0,2;3;5,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;5;1
