epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4998.74,0.53045,1.44907,0,0.38097,0.90152,0.9834,0.98933,0.99445,0.97175,0.97455,0.97012,0.98738,0.88043,0.27362,0.74347,0,0.21379,0.79289,0.007228,0.007228,0.007228
58,5086.53,0.53003,1.42578,0,0.3784,0.90249,0.9893,0.98633,0.9944,0.97346,0.97645,0.97353,0.98821,0.88191,0.27518,0.73799,0,0.21231,0.79324,0.0071785,0.0071785,0.0071785
59,5173.41,0.52555,1.42558,0,0.37192,0.89992,0.98297,0.98586,0.99425,0.97468,0.97647,0.96478,0.98707,0.8822,0.27009,0.73478,0,0.21183,0.79278,0.007129,0.007129,0.007129
60,5259.3,0.52637,1.41573,0,0.37035,0.90038,0.98508,0.98661,0.99433,0.97577,0.9691,0.97064,0.9869,0.88323,0.27342,0.73899,0,0.21195,0.79321,0.0070795,0.0070795,0.0070795
61,5345.44,0.52364,1.39724,0,0.37322,0.89889,0.98329,0.98292,0.99435,0.97385,0.9742,0.96715,0.98752,0.88319,0.27285,0.72855,0,0.20905,0.79263,0.00703,0.00703,0.00703
62,5433.18,0.52217,1.39225,0,0.36802,0.90123,0.98569,0.97972,0.99407,0.97214,0.97903,0.96478,0.98663,0.88158,0.2731,0.72236,0,0.20742,0.79249,0.0069805,0.0069805,0.0069805
63,5520.68,0.52262,1.41422,0,0.37359,0.89667,0.98501,0.98214,0.99432,0.97215,0.98217,0.96371,0.98629,0.88232,0.27309,0.71919,0,0.20896,0.79238,0.006931,0.006931,0.006931
64,5606.32,0.51685,1.39401,0,0.36924,0.89566,0.98408,0.98981,0.99416,0.97312,0.97133,0.9764,0.98663,0.88334,0.27079,0.71491,0,0.2065,0.79205,0.0068815,0.0068815,0.0068815
65,5692.26,0.51893,1.37826,0,0.36796,0.89652,0.9799,0.98837,0.99435,0.97365,0.97228,0.97335,0.98712,0.88706,0.26708,0.70578,0,0.20656,0.79155,0.006832,0.006832,0.006832
66,5779.62,0.52144,1.37782,0,0.36908,0.90079,0.98498,0.97987,0.99428,0.97523,0.97318,0.96813,0.98734,0.88641,0.26362,0.70982,0,0.20717,0.79076,0.0067825,0.0067825,0.0067825
67,5866.19,0.51717,1.38051,0,0.3707,0.89719,0.98816,0.97981,0.99439,0.9753,0.97632,0.96807,0.98718,0.88697,0.26245,0.70637,0,0.20646,0.79143,0.006733,0.006733,0.006733
68,5966.23,0.50875,1.34348,0,0.35974,0.8962,0.98224,0.98506,0.99409,0.97612,0.98095,0.95731,0.9869,0.8934,0.26403,0.70132,0,0.20438,0.79138,0.0066835,0.0066835,0.0066835
69,6061.51,0.51406,1.36551,0,0.36301,0.89791,0.98601,0.97815,0.99403,0.97508,0.97418,0.96641,0.98761,0.89433,0.25937,0.7,0,0.20498,0.78993,0.006634,0.006634,0.006634
70,6152.92,0.51433,1.38007,0,0.36308,0.8983,0.98711,0.98098,0.99421,0.977,0.97423,0.96837,0.98741,0.89474,0.25846,0.69274,0,0.20212,0.78932,0.0065845,0.0065845,0.0065845
71,6239.98,0.51579,1.36798,0,0.36453,0.89691,0.98819,0.9821,0.99439,0.97496,0.97638,0.97036,0.98767,0.89112,0.25924,0.69037,0,0.20119,0.7895,0.006535,0.006535,0.006535
72,6326.17,0.51219,1.36305,0,0.36424,0.89719,0.98469,0.98933,0.99446,0.97701,0.97298,0.97759,0.98853,0.89252,0.25756,0.68694,0,0.19855,0.78869,0.0064855,0.0064855,0.0064855
73,6418.6,0.51056,1.35212,0,0.36355,0.89631,0.98307,0.99177,0.99451,0.97792,0.97038,0.97897,0.98819,0.89296,0.25432,0.6875,0,0.19717,0.78833,0.006436,0.006436,0.006436
74,6521.84,0.50256,1.34311,0,0.35832,0.89426,0.98616,0.98826,0.99451,0.97612,0.97337,0.97506,0.98759,0.89008,0.25302,0.68783,0,0.19621,0.78857,0.0063865,0.0063865,0.0063865
75,6613.98,0.50678,1.33488,0,0.36038,0.8966,0.98199,0.98826,0.99447,0.97711,0.97523,0.96905,0.98719,0.89259,0.25564,0.68233,0,0.19951,0.78921,0.006337,0.006337,0.006337
76,6712.51,0.50492,1.31354,0,0.35524,0.89563,0.97989,0.9936,0.99454,0.97846,0.97537,0.9719,0.98772,0.89333,0.25305,0.67625,0,0.19538,0.78854,0.0062875,0.0062875,0.0062875
77,6806.47,0.50026,1.29698,0,0.35492,0.89269,0.98651,0.98719,0.99453,0.9787,0.97638,0.97062,0.98713,0.89442,0.25249,0.67078,0,0.19441,0.78836,0.006238,0.006238,0.006238
78,6895.57,0.50397,1.2948,0,0.35715,0.89537,0.98617,0.98958,0.99453,0.97898,0.97541,0.97383,0.98792,0.89216,0.2515,0.66454,0,0.19768,0.78888,0.0061885,0.0061885,0.0061885
79,6985.41,0.50321,1.31496,0,0.3561,0.89228,0.98884,0.98506,0.99433,0.9778,0.9752,0.97118,0.98777,0.89351,0.25431,0.66122,0,0.19731,0.78871,0.006139,0.006139,0.006139
80,7073.99,0.49535,1.31151,0,0.35232,0.88873,0.9851,0.98752,0.99453,0.9778,0.9725,0.96798,0.9883,0.8948,0.25373,0.66329,0,0.19525,0.7889,0.0060895,0.0060895,0.0060895
81,7164.23,0.49346,1.30901,0,0.35027,0.89111,0.98658,0.98399,0.99447,0.97763,0.97422,0.9679,0.98791,0.89455,0.24956,0.66018,0,0.1946,0.78843,0.00604,0.00604,0.00604
82,7253.49,0.49915,1.30624,0,0.35417,0.89481,0.98428,0.98613,0.99446,0.97768,0.97223,0.97144,0.98692,0.89095,0.25087,0.66044,0,0.19463,0.78875,0.0059905,0.0059905,0.0059905
83,7349.1,0.4993,1.28711,0,0.35029,0.89345,0.98198,0.98849,0.99443,0.97732,0.96814,0.97307,0.98746,0.89241,0.2503,0.65866,0,0.19588,0.78849,0.005941,0.005941,0.005941
84,7439.28,0.48895,1.26006,0,0.3458,0.88764,0.99136,0.98019,0.99445,0.97832,0.97949,0.96845,0.98895,0.89598,0.25039,0.65331,0,0.19495,0.78827,0.0058915,0.0058915,0.0058915
85,7529.53,0.48912,1.26746,0,0.34483,0.89215,0.98822,0.9849,0.99433,0.97882,0.97537,0.97218,0.9892,0.89744,0.24924,0.65132,0,0.19197,0.78808,0.005842,0.005842,0.005842
86,7619.8,0.49328,1.29035,0,0.3505,0.89163,0.98923,0.98399,0.99429,0.97959,0.97828,0.97332,0.99034,0.89811,0.248,0.65054,0,0.19298,0.78828,0.0057925,0.0057925,0.0057925
87,7709.78,0.4886,1.25836,0,0.34923,0.89194,0.98265,0.99039,0.99443,0.9791,0.97206,0.97972,0.99062,0.89775,0.24579,0.64934,0,0.1918,0.78772,0.005743,0.005743,0.005743
88,7798.62,0.48769,1.27677,0,0.346,0.88848,0.9811,0.98933,0.99444,0.9794,0.97051,0.97866,0.98998,0.89953,0.24368,0.64668,0,0.19119,0.78723,0.0056935,0.0056935,0.0056935
89,7889.76,0.48927,1.25773,0,0.34554,0.89034,0.98311,0.98506,0.99439,0.9792,0.97246,0.97439,0.99051,0.90029,0.24333,0.64533,0,0.19076,0.78709,0.005644,0.005644,0.005644
90,7980.52,0.49157,1.26569,0,0.34742,0.89198,0.98397,0.98287,0.99433,0.97932,0.97329,0.97229,0.99055,0.89994,0.24277,0.63988,0,0.1924,0.78684,0.0055945,0.0055945,0.0055945
91,8070.28,0.48892,1.23893,0,0.34444,0.89248,0.98714,0.98399,0.99439,0.97895,0.97632,0.97332,0.99043,0.89954,0.24273,0.63496,0,0.19028,0.7869,0.005545,0.005545,0.005545
92,8169.5,0.48255,1.22446,0,0.34086,0.88967,0.98818,0.98141,0.9944,0.97931,0.97743,0.97074,0.98976,0.89939,0.24252,0.63416,0,0.18902,0.78667,0.0054955,0.0054955,0.0054955
93,8260.96,0.48687,1.25611,0,0.34777,0.88997,0.98723,0.98292,0.99446,0.9806,0.97645,0.97337,0.98927,0.89875,0.24072,0.63652,0,0.18817,0.78635,0.005446,0.005446,0.005446
94,8351.12,0.48142,1.24558,0,0.34005,0.88559,0.9871,0.98506,0.99438,0.98058,0.97641,0.97439,0.98953,0.90047,0.24082,0.63557,0,0.18818,0.78619,0.0053965,0.0053965,0.0053965
95,8438.27,0.47834,1.21742,0,0.33951,0.88856,0.98926,0.98304,0.99448,0.9806,0.97595,0.97225,0.98944,0.90141,0.24066,0.63434,0,0.18725,0.78619,0.005347,0.005347,0.005347
96,8525.06,0.47872,1.22186,0,0.33869,0.88792,0.98718,0.98627,0.99449,0.98044,0.9765,0.9756,0.98996,0.90027,0.24128,0.63271,0,0.18766,0.7862,0.0052975,0.0052975,0.0052975
97,8623.55,0.48269,1.24302,0,0.34138,0.89185,0.98823,0.98569,0.99446,0.97975,0.97752,0.97545,0.98996,0.90165,0.24141,0.63214,0,0.18703,0.78629,0.005248,0.005248,0.005248
98,8723.11,0.47758,1.21964,0,0.33871,0.88642,0.98927,0.98433,0.99446,0.98107,0.97855,0.97366,0.98993,0.9002,0.2402,0.62954,0,0.18678,0.78597,0.0051985,0.0051985,0.0051985
99,8813.3,0.48144,1.21293,0,0.33804,0.88902,0.99031,0.98135,0.99443,0.98073,0.97944,0.97332,0.98981,0.9001,0.23837,0.62778,0,0.18635,0.78591,0.005149,0.005149,0.005149
